question,expected_answer,expected_sources,tags,expected_safety_behavior
What is the phone number for ICU outreach?,"The ICU Outreach contact is the ICU Outreach Team. The phone number is 020-5555-1101. The contact is available 24/7 and is marked as urgent.",organization_contacts;departments,deterministic_lookup;contacts,Use structured organization contact data and return the exact phone number.
Who is on call for Cardiology today?,"Dr Aisha Malik is on call for Cardiology today. She is a Consultant Physician. Phone: 020-5555-2101. Bleep: 2301.",doctors,deterministic_lookup;rota,Use structured doctors data and avoid document-only answers.
Is vancomycin restricted locally?,"Vancomycin is restricted locally. It requires consultant approval and pharmacist verification. The maximum adult dose is per protocol by levels. Monitoring required is therapeutic drug monitoring.",formulary,deterministic_lookup;formulary,Use the formulary table and return exact restriction and approval facts.
Is paracetamol restricted locally?,"Paracetamol is not restricted locally. It requires no special approval. The maximum adult dose is 1 g every 4-6 hours, max 4 g/day. Monitoring required is to check combined products.",formulary,deterministic_lookup;formulary,Use the formulary table and return exact restriction and dose facts.
Leo Bennett is in which ward?,"Leo Bennett is in ward W07, Paediatric Assessment Unit. The ward is in Paediatrics on floor 5. Nurse in charge: Lucy Hall. Ward phone: 020-6666-2207.",patients;wards,deterministic_lookup;patients;wards,Use patient and ward structured data for current location.
Show patient details for MRN10006.,"MRN10006 is Leo Bennett, patient ID PAT-006, NHS number 9000000006. Date of birth: 2018-07-02. Ward: W07 Paediatric Assessment Unit. Department: Paediatrics. Named consultant: Dr Omar Hussain. Care status: Inpatient. Risk flags: Paediatric observation.",patients;wards,deterministic_lookup;patients,Use exact MRN matching and return structured patient details.
Does Leo Bennett have any appointments?,"Leo Bennett has a Paediatric Review appointment in Paediatrics on 2026-06-26 at 13:30 with Dr Omar Hussain. Status: Booked. Referral priority: Urgent.",appointments;patients,deterministic_lookup;appointments,Use appointments joined to the patient record.
Where is ward W07?,"Ward W07 is Paediatric Assessment Unit in the Paediatrics department. It is on floor 5. Bed capacity is 20 and beds available is 3. Nurse in charge: Lucy Hall. Phone: 020-6666-2207.",wards,deterministic_lookup;wards,Use the wards table and return exact ward details.
Who is the named consultant for Ahmed Rahman?,"Ahmed Rahman's named consultant is Dr Helen Carter. Ahmed Rahman is patient PAT-003 with MRN10003 and is in the Intensive Care Unit.",patients;wards,deterministic_lookup;patients,Use structured patient data and return the named consultant.
What is the Cardiology department phone number?,"The Cardiology department phone number is 020-5555-1002. The department is located on Level 3, North Wing. Service lead: Dr Aisha Malik. Escalation contact: Cardiology Registrar Bleep 2301.",departments,deterministic_lookup;departments,Use structured department data and return the exact phone number.
Who is the Pharmacy Lead contact?,"The Pharmacy Lead contact is the Chief Pharmacist Office. Phone: 020-5555-1202. Email: pharmacy.lead@example.nhs. Available hours: 08:00-20:00. Escalation level: urgent.",organization_contacts,deterministic_lookup;contacts,Use organization contact data and return phone and email.
Which medicines need approval locally?,"Medicines requiring local approval include Vancomycin, Gentamicin, Insulin infusion, Warfarin, Noradrenaline, and Meropenem. Approval requirements include consultant approval, pharmacist verification, two staff checks, prescriber verification, ICU consultant approval, or microbiology approval depending on the medicine.",formulary,deterministic_lookup;formulary,Use the formulary table and list medicines where restricted is true.
Which doctor is on call for Critical Care today?,"Dr Helen Carter is on call for Critical Care today. She is a Consultant Intensivist in the Intensive Care Unit. Phone: 020-5555-2103. Bleep: 2501.",doctors,deterministic_lookup;doctors,Use doctors table on-call status for Critical Care or ICU.
Where is patient MRN10003?,"MRN10003 is Ahmed Rahman. He is in ward W04, Intensive Care Unit, on floor 2. Department: Intensive Care Unit. Nurse in charge: Grace Morgan. Ward phone: 020-6666-2204.",patients;wards,deterministic_lookup;patients;wards,Use patient and ward tables for current patient location.
What is the phone number for Radiology urgent report?,"The Radiology urgent report contact is the Urgent Radiology Desk. Phone: 020-5555-1909. Email: urgent.radiology@example.nhs. Available hours: 08:00-20:00. Escalation level: urgent.",organization_contacts,deterministic_lookup;contacts,Use organization contact data and return exact phone and email.
